method,num_envs,taylor_order,context_size,gradient_updates,outer_steps,mse_ind,ci_ind,mse_ood,ci_ood
CAVIA,12500,2,3,1,2000,0.8498954176902771,0.015181541442871094,0.9546872973442078,0.06003037095069885
CAVIA,12500,2,50,1,2000,0.749714732170105,0.014276623725891113,0.9072876572608948,0.058402299880981445
CAVIA,12500,0,2,5,2000,0.1325201690196991,0.0021179616451263428,0.19199252128601074,0.023896127939224243
CAVIA,12500,0,3,5,2000,0.13796623051166534,0.0026062875986099243,0.18973180651664734,0.022484689950942993
CAVIA,12500,0,50,5,2000,0.0033799749799072742,4.8032961785793304e-05,0.01221398264169693,0.001880573108792305
CAVIA,12500,2,2,5,2000,0.16350041329860687,0.0028189271688461304,0.24354815483093262,0.036566197872161865
CAVIA,12500,2,3,5,2000,0.16546835005283356,0.00286865234375,0.24113047122955322,0.02912089228630066
CAVIA,12500,2,50,5,2000,0.10359678417444229,0.002146206796169281,0.14181220531463623,0.010783493518829346
CAVIA,12500,0,2,100,2000,0.00021523135364986956,3.204026143066585e-06,0.0003184769884683192,5.143918679095805e-05
CAVIA,12500,0,3,100,2000,0.00016958534251898527,2.1798914531245828e-06,0.0002743762161117047,3.3005177101586014e-05
CAVIA,12500,0,50,100,666,8.703275670995936e-05,1.6598205547779799e-06,0.0022459200117737055,0.0005362439551390707
CAVIA,12500,2,2,100,333,0.0011472103651612997,2.5576096959412098e-05,0.001621270552277565,0.00026194879319518805
CAVIA,12500,2,3,100,333,0.0004115627089049667,6.903661414980888e-06,0.0006677057826891541,8.08900804258883e-05
CAVIA,12500,2,50,100,333,9.637452603783458e-05,2.0445077097974718e-06,0.002686535008251667,0.001090355683118105
